ID;Medicamento;Dosis;Presentación;Marca;Farmacía;Precio;Dirección;Comuna;Región
23118;FLAGYL;500 mg;20 COMPRIMIDOS RECUBIERTOS;SANOFI-AVENTIS DE CHILE S.A.;Salcobrand;16899;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23119;HIDRORONOL;50 mg;24 COMPRIMIDOS;ITF - LABOMED FARMACÉUTICA LTDA.;Salcobrand;4699;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23120;KEPPRA;500 mg;30 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Salcobrand;26099;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23121;KEPPRA;1000 mg;30 COMPRIMIDOS RECUBIERTOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Salcobrand;70999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23122;MICARDIS;80 mg;28 COMPRIMIDOS;BOEHRINGER INGELHEIM LTDA.;Salcobrand;34899;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23123;MICARDIS;40 mg;28 COMPRIMIDOS;BOEHRINGER INGELHEIM LTDA.;Salcobrand;36299;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23124;MACRODANTINA;50 mg;40 CÁPSULAS;BOEHRINGER INGELHEIM LTDA.;Salcobrand;16199;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23125;MACRODANTINA;100 mg;40 CÁPSULAS;BOEHRINGER INGELHEIM LTDA.;Salcobrand;18699;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23126;NEO‐SINTROM;4 mg;20 COMPRIMIDOS;NOVARTIS CHILE S.A.;Salcobrand;33399;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23127;OMNIC;0,4 mg;30 COMPRIMIDOS;YAMANOUCHI;Salcobrand;18999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23128;PLAVIX;75 mg;28 COMPRIMIDOS RECUBIERTOS;SANOFI-AVENTIS DE CHILE S.A.;Salcobrand;59399;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23129;PROGRAF;1 mg;100 CÁPSULAS;GADOR LTDA.;Salcobrand;217399;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23130;SANDIMMUN;50 mg;50 CÁPSULAS;NOVARTIS CHILE S.A.;Salcobrand;111099;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23131;SINGULAIR;5 mg;30 COMPRIMIDOS MASTICABLES;MERCK SHARP & DOHME CHILE LTDA.;Salcobrand;70999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23132;SINGULAIR;4 mg;30 COMPRIMIDOS MASTICABLES;MERCK SHARP & DOHME CHILE LTDA.;Salcobrand;71099;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23133;TEGRETAL;200 mg;20 COMPRIMIDOS;NOVARTIS CHILE S.A.;Salcobrand;21999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23134;VIBRAMICINA;100 mg;10 CÁPSULAS;PFIZER CHILE S.A.;Salcobrand;20299;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23135;YASMIN;s/i;21 COMPRIMIDOS;BAYER S.A.;Salcobrand;23699;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23136;ZOTRAN;0,5 mg;30 COMPRIMIDOS;PFIZER CHILE S.A.;Salcobrand;13999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23137;Actron;400 mg;10 CÁPSULAS BLANDAS;BAYER S.A.;Salcobrand;4199;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23138;Aerolin LF;100 mcg;200 INH. BUCAL;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Salcobrand;15699;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23139;Amoval;1 gr;14 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Salcobrand;11699;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23140;Belara;s/i;21 COMPRIMIDOS RECUBIERTOS;GRÜNENTHAL CHILENA LTDA.;Salcobrand;20999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23141;Cefalmin;s/i;10 COMPRIMIDOS;INSTITUTO SANITAS S.A.;Salcobrand;1899;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23142;Ecotrin;100 mg;28 COMPRIMIDOS;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;Salcobrand;8999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23143;Eurogesic Forte;550 mg;10 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Salcobrand;4999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23144;Gynera 75/20;s/i;21 COMPRIMIDOS RECUBIERTOS;BAYER S.A.;Salcobrand;15099;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23145;Gynostat 20;s/i;21 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;12199;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23146;Lomex;20 mg;14 CÁPSULAS;LABORATORIOS SAVAL S.A.;Salcobrand;17899;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23147;Marvelon 20;s/i;21 COMPRIMIDOS;MERCK SHARP & DOHME CHILE LTDA.;Salcobrand;14999;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23148;Microgynon Cd;s/i;28 COMPRIMIDOS;BAYER S.A.;Salcobrand;8699;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23149;Migranol;s/i;10 COMPRIMIDOS;LABORATORIO BAGO S.A.;Salcobrand;1599;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23150;Parox Meltab;500 mg;12 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Salcobrand;5599;Av.Vic.Mackenna Nº 7110, local C-108 Mall Pza.Vespucio;La Florida;Metropolitana
23151;GLIBENCLAMIDA;5 mg;30 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;399;Ahumada Nº 389;Santiago;Metropolitana
23152;EUROGESIC ADULTO;275 mg;10 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Salcobrand;2099;Ahumada Nº 389;Santiago;Metropolitana
23153;EUROGESIC ADULTO;550 mg;10 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Salcobrand;4999;Ahumada Nº 389;Santiago;Metropolitana
23154;EUROMICINA;500 mg;14 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Salcobrand;22699;Ahumada Nº 389;Santiago;Metropolitana
23155;CIBLEX;30 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Salcobrand;49499;Ahumada Nº 389;Santiago;Metropolitana
23156;DIVARIL;30 mg;30 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Salcobrand;40899;Ahumada Nº 389;Santiago;Metropolitana
23157;TENSIOMAX;10 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO BAGÓ DE CHILE S.A.;Salcobrand;5999;Ahumada Nº 389;Santiago;Metropolitana
23158;LIVERTOX;20 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO BAGÓ DE CHILE S.A.;Salcobrand;2399;Ahumada Nº 389;Santiago;Metropolitana
23159;LOSAPRES;50 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Salcobrand;22099;Ahumada Nº 389;Santiago;Metropolitana
23160;SYNDOL;30 mg/mL;5 SOLUCIÓN INYECTABLE;PHARMA INVESTI DE CHILE S.A.;Salcobrand;16999;Ahumada Nº 389;Santiago;Metropolitana
23161;TRANQUINAL;0,5 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Salcobrand;1799;Ahumada Nº 389;Santiago;Metropolitana
23162;SOMNO;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Salcobrand;29999;Ahumada Nº 389;Santiago;Metropolitana
23163;SOMNO; 5 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Salcobrand;15999;Ahumada Nº 389;Santiago;Metropolitana
23164;TREX;500 mg;6 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Salcobrand;18999;Ahumada Nº 389;Santiago;Metropolitana
23165;TRAVIATA;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;40999;Ahumada Nº 389;Santiago;Metropolitana
23166;GLIBENCLAMIDA; 5 mg;30 COMPRIMIDOS;MINTLAB Co. S.A.;Salcobrand;399;Ahumada Nº 389;Santiago;Metropolitana
23167;CRISMOL; 2 mg;30 COMPRIMIDOS;PHARMA INVESTI DE CHILE S.A.;Salcobrand;8199;Ahumada Nº 389;Santiago;Metropolitana
23168;LEODRIN;70 mg;12 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Salcobrand;22799;Ahumada Nº 389;Santiago;Metropolitana
23169;ATENFAR;20 mg;30 COMPRIMIDOS RECUBIERTOS;MEDIPHARM LTDA.;Salcobrand;7799;Ahumada Nº 389;Santiago;Metropolitana
23170;VIORA;s/i;21 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Salcobrand;15799;Ahumada Nº 389;Santiago;Metropolitana
23171;ASVENTOL;10 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Salcobrand;36590;Ahumada Nº 389;Santiago;Metropolitana
23172;ARADIX;10 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Salcobrand;25499;Ahumada Nº 389;Santiago;Metropolitana
23173;PIPLEX;20 mg;30 CÁPSULAS BLANDAS;LABORATORIOS LAFI LTDA.;Salcobrand;49999;Ahumada Nº 389;Santiago;Metropolitana
23174;TRIMEBUTINA;100 mg;20 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;1699;Ahumada Nº 389;Santiago;Metropolitana
23175;NEOCLARITINE; 5 mg;30 COMPRIMIDOS RECUBIERTOS;MERCK SHARP & DOHME CHILE LTDA.;Salcobrand;17499;Ahumada Nº 389;Santiago;Metropolitana
23176;SPIRON;1 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;28899;Ahumada Nº 389;Santiago;Metropolitana
23177;CLOZANIL; 2 mg;30 COMPRIMIDOS;INSTITUTO SANITAS S.A.;Salcobrand;7299;Ahumada Nº 389;Santiago;Metropolitana
23178;LIFTER;100 mg;5 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Salcobrand;30599;Ahumada Nº 389;Santiago;Metropolitana
23179;SPIRON; 3 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;31899;Ahumada Nº 389;Santiago;Metropolitana
23180;ZOPICLONA; 7,5 mg;30 COMPRIMIDOS RECUBIERTOS;INTERPHARMA S.A.;Salcobrand;4299;Ahumada Nº 389;Santiago;Metropolitana
23181;ENALTEN;20 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Salcobrand;21499;Ahumada Nº 389;Santiago;Metropolitana
23182;SICADOL;500 mg;10 COMPRIMIDOS;SYNTHON CHILE LTDA.;Salcobrand;3199;Ahumada Nº 389;Santiago;Metropolitana
23183;ENALTEN;10 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Salcobrand;19899;Ahumada Nº 389;Santiago;Metropolitana
23184;SULIX; 0,4 mg;30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Salcobrand;10699;Ahumada Nº 389;Santiago;Metropolitana
23185;AMLODIPINO;10 mg;30 COMPRIMIDOS;ASCEND LABORATORIES S.p.A.;Salcobrand;2899;Ahumada Nº 389;Santiago;Metropolitana
23186;SIBILLA;s/i;21 COMPRIMIDOS RECUBIERTOS;COMERCIAL GEDEON RICHTER (CHILE) LTDA.;Salcobrand;11099;Ahumada Nº 389;Santiago;Metropolitana
23187;LEVEVITAE;500 mg;30 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Salcobrand;17299;Ahumada Nº 389;Santiago;Metropolitana
23188;ACNERAL;10 mg;30 CÁPSULAS BLANDAS;LABORATORIO CHILE S.A.;Salcobrand;25099;Ahumada Nº 389;Santiago;Metropolitana
23189;SERTAC;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;22999;Ahumada Nº 389;Santiago;Metropolitana
23190;SERTAC;50 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;21199;Ahumada Nº 389;Santiago;Metropolitana
23191;FINDALER;10 mg;30 COMPRIMIDOS RECUBIERTOS;MEDIPHARM LTDA.;Salcobrand;5999;Ahumada Nº 389;Santiago;Metropolitana
23192;AMOLEX DUO 875/125;875/125;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;21299;Ahumada Nº 389;Santiago;Metropolitana
23193;MADOZIDE;200/50;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Salcobrand;17099;Ahumada Nº 389;Santiago;Metropolitana
23194;PICLOKARE;75 mg;28 COMPRIMIDOS RECUBIERTOS;ETEX FARMACÉUTICA LTDA.;Salcobrand;28999;Ahumada Nº 389;Santiago;Metropolitana
23195;HIPOGLUCIN;750 mg;30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;LABORATORIO CHILE S.A.;Salcobrand;12099;Ahumada Nº 389;Santiago;Metropolitana
23196;AZYMOL; 5 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Salcobrand;33999;Ahumada Nº 389;Santiago;Metropolitana
23197;NEURYL; 0,5 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Salcobrand;6799;Ahumada Nº 389;Santiago;Metropolitana
23198;VASTUS;5 mg;30 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Salcobrand;16799;Ahumada Nº 389;Santiago;Metropolitana
23199;LIPOTROPIC;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Salcobrand;23799;Ahumada Nº 389;Santiago;Metropolitana
23200;IBANOX;150 mg;1 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Salcobrand;20499;Ahumada Nº 389;Santiago;Metropolitana
23201;RISPYL; 3 mg;20 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Salcobrand;26999;Ahumada Nº 389;Santiago;Metropolitana
23202;CITALOPRAM;20 mg;30 COMPRIMIDOS;MINTLAB Co. S.A.;Salcobrand;6999;Ahumada Nº 389;Santiago;Metropolitana
23203;RUBIFEN SR;20 mg;30 COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA;PHARMAVITA S.A.;Salcobrand;31999;Ahumada Nº 389;Santiago;Metropolitana
23204;BIOPSOL;0,25 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Salcobrand;13899;Ahumada Nº 389;Santiago;Metropolitana
23205;ALEXIA FORTE;180 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Salcobrand;12999;Ahumada Nº 389;Santiago;Metropolitana
23206;GABEX;600 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;32599;Ahumada Nº 389;Santiago;Metropolitana
23207;TOPREL;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Salcobrand;64099;Ahumada Nº 389;Santiago;Metropolitana
23208;ECTIBAN;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;35799;Ahumada Nº 389;Santiago;Metropolitana
23209;ECTIBAN;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;15299;Ahumada Nº 389;Santiago;Metropolitana
23210;VALAPLEX;80 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;15999;Ahumada Nº 389;Santiago;Metropolitana
23211;VALAPLEX;160 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;16999;Ahumada Nº 389;Santiago;Metropolitana
23212;HIPOLIXAN;40 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Salcobrand;23399;Ahumada Nº 389;Santiago;Metropolitana
23213;QUETIDIN;25 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Salcobrand;24499;Ahumada Nº 389;Santiago;Metropolitana
23214;QUETIDIN;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Salcobrand;41199;Ahumada Nº 389;Santiago;Metropolitana
23215;ROPSIL; 2 mg;30 COMPRIMIDOS;MEDIPHARM LTDA.;Salcobrand;6199;Ahumada Nº 389;Santiago;Metropolitana
23216;HIDROCLOROTIAZIDA;50 mg;20 COMPRIMIDOS;LABORATORIO CHILE S.A.;Salcobrand;1299;Ahumada Nº 389;Santiago;Metropolitana
23217;IPRAN;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Salcobrand;27099;Ahumada Nº 389;Santiago;Metropolitana
23218;IPRAN;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Salcobrand;48999;Ahumada Nº 389;Santiago;Metropolitana
23219;LINFONEX;500 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Salcobrand;69299;Ahumada Nº 389;Santiago;Metropolitana
23220;CARVEDILOL;25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Salcobrand;5099;Ahumada Nº 389;Santiago;Metropolitana
23221;CEUMID;1000 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Salcobrand;40499;Ahumada Nº 389;Santiago;Metropolitana
23222;VARTALAN;320 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Salcobrand;15099;Ahumada Nº 389;Santiago;Metropolitana
23223;MOXAVAL;400 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Salcobrand;44299;Ahumada Nº 389;Santiago;Metropolitana
23224;SIMPERTEN;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;15999;Ahumada Nº 389;Santiago;Metropolitana
23225;ACEBRON;4 mg;20 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Salcobrand;18699;Ahumada Nº 389;Santiago;Metropolitana
23226;LEVOFLOXACINO;500 mg;7 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;5099;Ahumada Nº 389;Santiago;Metropolitana
23227;GLAUPAX;500 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Salcobrand;5599;Ahumada Nº 389;Santiago;Metropolitana
23228;ILTUX;40 mg;28 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Salcobrand;16399;Ahumada Nº 389;Santiago;Metropolitana
23229;NEURYL; 2 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Salcobrand;11199;Ahumada Nº 389;Santiago;Metropolitana
23230;LIFTER;50 mg;1 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Salcobrand;1399;Ahumada Nº 389;Santiago;Metropolitana
23231;GLIFORTEX;850 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;9299;Ahumada Nº 389;Santiago;Metropolitana
23232;AMPINO; 5 mg;30 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Salcobrand;12999;Ahumada Nº 389;Santiago;Metropolitana
23233;CARVEDILOL;25 mg;30 COMPRIMIDOS;MEDINOVA FARMA LTDA.;Salcobrand;5099;Ahumada Nº 389;Santiago;Metropolitana
23234;IBUPIRAC LC;400 mg;20 CÁPSULAS BLANDAS;CHEMOPHARMA S.A.;Salcobrand;3899;Ahumada Nº 389;Santiago;Metropolitana
23235;IBUPIRAC LC;600 mg;10 CÁPSULAS BLANDAS;CHEMOPHARMA S.A.;Salcobrand;6599;Ahumada Nº 389;Santiago;Metropolitana
23236;LUCASTE; 4 mg;30 COMPRIMIDOS MASTICABLES;EUROFARMA CHILE S.A.;Salcobrand;17899;Ahumada Nº 389;Santiago;Metropolitana
23237;LUCASTE; 5 mg;30 COMPRIMIDOS MASTICABLES;EUROFARMA CHILE S.A.;Salcobrand;18399;Ahumada Nº 389;Santiago;Metropolitana
23238;VALVITAE PLUS;80/12,5;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Salcobrand;14999;Ahumada Nº 389;Santiago;Metropolitana
23239;VALVITAE PLUS;160/25;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Salcobrand;16499;Ahumada Nº 389;Santiago;Metropolitana
23240;CERCIORA T;0,75 mg;2 COMPRIMIDOS;EXELTIS CHILE S.p.A.;Salcobrand;13699;Ahumada Nº 389;Santiago;Metropolitana
23241;ESC;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Salcobrand;17699;Ahumada Nº 389;Santiago;Metropolitana
23242;COXDOS;200 mg;10 CÁPSULAS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;11999;Ahumada Nº 389;Santiago;Metropolitana
23243;LEVOFLOXACINO;500 mg;7 COMPRIMIDOS RECUBIERTOS;SEVEN PHARMA CHILE S.p.A.;Salcobrand;5099;Ahumada Nº 389;Santiago;Metropolitana
23244;CARDIOLEN;80 mg;20 CÁPSULAS;INSTITUTO SANITAS S.A.;Salcobrand;15999;Ahumada Nº 389;Santiago;Metropolitana
23245;CARDIOLEN;120 mg;20 CÁPSULAS;INSTITUTO SANITAS S.A.;Salcobrand;19299;Ahumada Nº 389;Santiago;Metropolitana
23246;LODIPRES;25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Salcobrand;17099;Ahumada Nº 389;Santiago;Metropolitana
23247;DIAZEPAM;10 mg;20 COMPRIMIDOS;LABORATORIO CHILE S.A.;Salcobrand;899;Ahumada Nº 389;Santiago;Metropolitana
23248;ENALTEN; 5 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Salcobrand;17899;Ahumada Nº 389;Santiago;Metropolitana
23249;FAMOTIDINA;20 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;899;Ahumada Nº 389;Santiago;Metropolitana
23250;GESIX;200 mg;10 CÁPSULAS;LABORATORIOS SAVAL S.A.;Salcobrand;9999;Ahumada Nº 389;Santiago;Metropolitana
23251;LADEE;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Salcobrand;14899;Ahumada Nº 389;Santiago;Metropolitana
23252;DANIELE;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Salcobrand;11699;Ahumada Nº 389;Santiago;Metropolitana
23253;DOSARA;80 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Salcobrand;14299;Ahumada Nº 389;Santiago;Metropolitana
23254;LADEE 20;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Salcobrand;14799;Ahumada Nº 389;Santiago;Metropolitana
23255;TAPSIN PURO;500 mg;24 COMPRIMIDOS;LABORATORIO MAVER S.A.;Salcobrand;1799;Ahumada Nº 389;Santiago;Metropolitana
23256;PLENITEX;75 mg;30 CÁPSULAS;LABORATORIOS RAFFO S.A.;Salcobrand;11999;Ahumada Nº 389;Santiago;Metropolitana
23257;PLENITEX;150 mg;30 CÁPSULAS;LABORATORIOS RAFFO S.A.;Salcobrand;22999;Ahumada Nº 389;Santiago;Metropolitana
23258;BETINA;24 mg;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Salcobrand;31999;Ahumada Nº 389;Santiago;Metropolitana
23259;BETINA;16 mg;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Salcobrand;26599;Ahumada Nº 389;Santiago;Metropolitana
23260;OMEPRAZOL;20 mg;30 CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO;LABORATORIO CHILE S.A.;Salcobrand;1299;Ahumada Nº 389;Santiago;Metropolitana
23261;ROSINA CD;s/i;28 COMPRIMIDOS RECUBIERTOS;COMERCIAL GEDEON RICHTER (CHILE) LTDA.;Salcobrand;14699;Ahumada Nº 389;Santiago;Metropolitana
23262;SOLUNA-E 20;s/i;21 COMPRIMIDOS;MINTLAB Co. S.A.;Salcobrand;8499;Ahumada Nº 389;Santiago;Metropolitana
23263;SOLUNA E;s/i;21 COMPRIMIDOS;MINTLAB Co. S.A.;Salcobrand;9299;Ahumada Nº 389;Santiago;Metropolitana
23264;RESTAURAL;10 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMAVITA S.A.;Salcobrand;18599;Ahumada Nº 389;Santiago;Metropolitana
23265;LEVEVITAE;1000 mg;30 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Salcobrand;31599;Ahumada Nº 389;Santiago;Metropolitana
23266;DALGIET; 2 mg;28 COMPRIMIDOS;EXELTIS CHILE S.p.A.;Salcobrand;17399;Ahumada Nº 389;Santiago;Metropolitana
23267;RISPYL;1 mg;20 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Salcobrand;15999;Ahumada Nº 389;Santiago;Metropolitana
23268;LIPOX;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;10399;Ahumada Nº 389;Santiago;Metropolitana
23269;LIPOX;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Salcobrand;20199;Ahumada Nº 389;Santiago;Metropolitana
23270;GLIDANIL;850 mg;30 COMPRIMIDOS RECUBIERTOS;MEDIPHARM LTDA.;Salcobrand;3899;Ahumada Nº 389;Santiago;Metropolitana
